id,order,genus,Epitet,Sp name,Complete name
123,PRIMATES,Aotus,nigriceps,Aotus nigriceps,"A. nigriceps Dollman, 1909"
124,PRIMATES,Aotus,trivirgatus,Aotus trivirgatus,"A. trivirgatus (Humboldt, 1811)"
125,PRIMATES,Aotus,vociferans,Aotus vociferans,"A. vociferans (Spix, 1823)"
261,CARNIVORA,Arctocephalus,australis,Arctocephalus australis,"A. australis (Zimmermann, 1783)"
262,CARNIVORA,Arctocephalus,australis,Arctocephalus australis,"A. australis (Zimmermann, 1783)"
263,CARNIVORA,Arctocephalus,gazella,Arctocephalus gazella,"A. gazella (Peters, 1875)"
264,CARNIVORA,Arctocephalus,tropicalis,Arctocephalus tropicalis,"A. tropicalis (J.E. Gray, 1872)"
265,CARNIVORA,Arctocephalus,tropicalis,Arctocephalus tropicalis,"A. tropicalis (J.E. Gray, 1872)"
330,CHIROPTERA,Artibeus,anderseni,Artibeus anderseni,"A. anderseni Osgood, 1916"
331,CHIROPTERA,Artibeus,cinereus,Artibeus cinereus,A. cinereus (Gervais 1855)
332,CHIROPTERA,Artibeus,concolor,Artibeus concolor,"A. concolor Peters, 1865"
333,CHIROPTERA,Artibeus,fimbriatus,Artibeus fimbriatus,"A. fimbriatus Gray, 1838 8"
334,CHIROPTERA,Artibeus,glaucus,Artibeus glaucus,"A. glaucus Thomas, 1893"
335,CHIROPTERA,Artibeus,gnomus,Artibeus gnomus,"A. gnomus Handley, 1987"
336,CHIROPTERA,Artibeus,lituratus,Artibeus lituratus,"A. lituratus (Olfers, 1818)"
337,CHIROPTERA,Artibeus,obscurus,Artibeus obscurus,"A. obscurus (Schinz, 1821)"
338,CHIROPTERA,Artibeus,planirostris,Artibeus planirostris,"A. planirostris (Spix, 1823) 9"
136,PRIMATES,Ateles,belzebuth,Ateles belzebuth,"A. belzebuth É. Geoffroy, 1806"
137,PRIMATES,Ateles,chamek,Ateles chamek,"A. chamek (Humboldt, 1812)"
138,PRIMATES,Ateles,marginatus,Ateles marginatus,"A. marginatus É. Geoffroy, 1809"
