"issues" "scientificName" "decimalLongitude" "decimalLatitude" "collectionCode" "catalogNumber" "identifiedBy" "country" "stateProvince" "county" "locality" "day" "month" "year" "recordedBy" "recordNumber" "occurrenceRemarks"
"GEODETIC_DATUM_ASSUMED_WGS84,IDENTIFIED_DATE_UNLIKELY" "Cavanillesia umbellata Ruiz & Pav." -70.25 -3.7 "MO" "189845" "A. Rudas (COL)" "Colombia" "Amazonas" NA "Municipio de Leticia. Parque Nacional Natural Amacayacu. Alrededores de la quebrada Agua Pudre en bosque de terra firme. Parcela E, No. 17." 24 3 1992 "Agustin Rudas L.|Diego Giraldo-Cañas|et al." "Rudas Lleras 3613" NA
"" "Cavanillesia umbellata Ruiz & Pav." NA NA "MO" "1715469" "R. Foster, 89" "Bolivia, Plurinational State of" "Beni" NA NA 29 5 1992 "Stephan G. Beck" "Beck 16640" NA
"GEODETIC_DATUM_ASSUMED_WGS84,IDENTIFIED_DATE_UNLIKELY" "Cavanillesia umbellata Ruiz & Pav." -69.05 -12.48333 "MO" "189926" "R. Vasquez (MO)" "Peru" "Madre de Dios" "Tambopata" "Las Piedras. Cusco Amazónico. Inventario Permanente. Plantas colectadas en trocha F y I." 29 10 1991 "Martín E. Timaná|Nestor Jaramillo" "Timaná 2868" NA
"GEODETIC_DATUM_ASSUMED_WGS84,IDENTIFIED_DATE_UNLIKELY" "Cavanillesia umbellata Ruiz & Pav." -69.05 -12.48333 "MO" "189932" "R. Vasquez (MO)" "Peru" "Madre de Dios" "Tambopata" "Las Piedras. Cusco Amazónico. Inventario Permanente. Plantas colectadas en trocha F y I." 29 10 1991 "Martín E. Timaná|Nestor Jaramillo" "Timaná 2871" NA
"GEODETIC_DATUM_ASSUMED_WGS84,IDENTIFIED_DATE_UNLIKELY" "Cavanillesia umbellata Ruiz & Pav." -69.05 -12.58333 "MO" "190183" "M. Timana (MO)" "Peru" "Madre de Dios" "Tambopata" "Cusco Amazónico Lodge. TREEPLOTS" 16 4 1990 "Percy Núñez V." "Núñez Vargas 12121" NA
"" "Cavanillesia arborea (Willd.) K.Schum." NA NA "HUEFS" "24143" NA "Brazil" "Goiás" NA NA 16 8 1990 "Cavalcanti, T.B." "713" NA
"GEODETIC_DATUM_ASSUMED_WGS84,IDENTIFIED_DATE_UNLIKELY" "Cavanillesia umbellata Ruiz & Pav." -65.5 -14 "Botany" NA "R. B. Foster : Field Museum of Natural History" "Bolivia, Plurinational State of" "Beni" NA NA 28 5 1988 "S. G. Beck" "16640" NA
"GEODETIC_DATUM_ASSUMED_WGS84,IDENTIFIED_DATE_UNLIKELY" "Cavanillesia umbellata Ruiz & Pav." -72.933 -3.241 "MO" "190042" "R. Vasquez (MO)" "Peru" "Loreto" "Maynas" "Yanamono, Explorama Tourist Camp, halfway between Indiana and mouth of Río Napo, non- flooded forest on rather fertile soil." 30 7 1988 "H. van der Werff|et al." "van der Werff 9853" NA
"GEODETIC_DATUM_ASSUMED_WGS84,IDENTIFIED_DATE_UNLIKELY" "Cavanillesia umbellata Ruiz & Pav." -73.33333 -4.58333 "MO" "190325" "J.L. Fernandez A. (COL)" "Peru" "Loreto" "Maynas" "Dtto. Iquitos, Km 42 Carretera Iquitos-Nauta. Bosque primario." 18 8 1987 "Rodolfo Vásquez|Nestor Jaramillo" "Vásquez Martínez 9378" NA
"GEODETIC_DATUM_ASSUMED_WGS84" "Cavanillesia arborea (Willd.) K.Schum." -39.183333 -12.166667 "HUEFS" "6735" NA "Brazil" "Bahia" NA NA 13 11 1986 "Queiroz, L.P.de" "1035" NA
"GEODETIC_DATUM_ASSUMED_WGS84" "Cavanillesia umbellata Ruiz & Pav." -70.25 -12 "Botany" NA NA "Peru" "Madre de Dios" NA NA 29 7 1984 "R. B. Foster" "9716" NA
